emotion;provocation;expectation;reality;weight;status
97;74;Yes;Yes;0.6;true
36;85;Yes;Yes;0.6;true
63;43;No;No;0.5;true
82;90;Yes;Yes;0.6;true
71;25;No;No;0.5;true
79;81;Yes;Yes;0.6;true
55;62;No;No;0.5;true
57;45;No;No;0.5;true
40;65;No;No;0.5;true
57;45;No;No;0.5;true
77;70;Yes;Yes;0.6;true
68;75;Yes;Yes;0.6;true
60;70;No;No;0.5;true
82;90;Yes;Yes;0.6;true
40;85;No;Yes;0.6;false
80;68;Yes;Yes;0.6;true
60;72;No;No;0.5235849056603773;true
50;95;Yes;Yes;0.6;true
100;18;No;No;0.5;true
11;99;Yes;Yes;0.6;true